#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
0,12641648.444969147,13494.513696542552,13494.513696542552,0.0,1.0
1,8847517.298934922,16051.418611689896,16051.418611689896,0.0,1.0
2,18045498.745757017,17493.901589809582,17493.901589809582,0.0,1.0
3,2163818.8196495427,579.7407747030634,1568.0878137380307,0.0,0.0
4,13825441.850770922,16616.049826108814,16616.049826108814,1.0,0.0
5,2706784.535966555,833.3909699936039,1641.9889025910168,0.0,0.0
6,10621565.364381785,11219.390926360787,11219.390926360787,0.0,1.0
7,11716704.9972336,10487.450526317214,10487.450526317214,1.0,0.0
8,11010195.59193899,10555.092733057914,10555.092733057914,0.0,1.0
9,11568471.383574812,12692.542374462746,12692.542374462746,0.0,1.0
10,3698573.933667891,948.9341591160512,2983.959275336767,0.0,0.0
11,10125421.97327695,22663.866038505785,22663.866038505785,0.0,1.0
12,14750053.611632893,10941.123881930938,10941.123881930938,0.0,1.0
13,2960740.466721861,948.2523571176471,2560.3434931992992,0.0,0.0
14,3380055.7301829834,713.1319388374704,2244.346075399161,0.0,0.0
15,3261937.444416523,992.1064655961244,2775.211912140815,0.0,0.0
16,13763875.89371646,26999.040550838985,26999.040550838985,0.0,1.0
17,2697808.2836413346,911.5478937331018,2341.551680429662,0.0,0.0
18,13167975.220044319,20965.328852752024,20965.328852752024,0.0,1.0
19,13618295.941764798,14719.200068448692,14719.200068448692,0.0,1.0
20,6876952.849431066,12272.412995256302,12272.412995256302,1.0,0.0
21,12625260.06136329,18499.95660254946,18499.95660254946,0.0,1.0
22,6965051.615141061,8927.927376158683,8927.927376158683,1.0,0.0
23,14030936.550985876,39999.17565096632,39999.17565096632,0.0,1.0
24,17141416.775376637,22197.420958459927,22197.420958459927,0.0,1.0
25,12203778.175830416,28997.348736920474,28997.348736920474,0.0,1.0
26,2945169.910697173,883.9697565285855,2153.652470610835,0.0,0.0
27,3001717.6570012993,671.0250125877207,1871.896542957819,0.0,0.0
28,3087769.0881603477,977.2227567207584,2385.265889713128,0.0,0.0
29,2559808.6288243965,1053.0102055428358,2402.733550590381,0.0,0.0
30,20057778.503750145,12919.950564126288,12919.950564126288,0.0,1.0
31,17365554.787458997,12666.483224097059,12666.483224097059,0.0,1.0
32,13151104.254365364,10698.294083324576,10698.294083324576,0.0,1.0
33,2641303.16592277,700.3666144605377,1785.9824817425776,0.0,0.0
34,12193248.4174211,26497.529340764333,26497.529340764333,1.0,0.0
35,15754343.49947766,18859.711713182933,18859.711713182933,1.0,0.0
36,8307864.377173066,18954.46137456378,18954.46137456378,1.0,0.0
37,3005816.663690053,1020.4478129666733,2700.642087062087,0.0,0.0
38,15220073.393348657,20375.882065205747,20375.882065205747,0.0,1.0
39,3629951.7225746536,861.6694487120163,2581.9670106269214,0.0,0.0
40,13236625.66970425,11623.965967574786,11623.965967574786,0.0,1.0
41,12296703.063851971,8754.191518715506,8754.191518715506,0.0,1.0
42,15455098.182028964,30444.870866945956,30444.870866945956,0.0,1.0
43,2959205.357871893,886.3711133316232,2279.5575625663187,0.0,0.0
44,11888838.833109014,22766.976420159444,22766.976420159444,0.0,1.0
45,3452723.245784955,679.166728254318,2119.4856783938085,0.0,0.0
46,13187445.906928794,13177.506023806785,13177.506023806785,1.0,0.0
47,15457449.67934513,16851.82551118514,16851.82551118514,1.0,0.0
48,3079707.650208877,988.8814093486934,2594.5047760974553,0.0,0.0
49,13524888.265427075,12648.186149381128,12648.186149381128,0.0,1.0
50,12919629.833755026,20617.85820453761,20617.85820453761,0.0,1.0
51,17817411.224639498,11568.147609754886,11568.147609754886,0.0,1.0
52,16995424.19271289,22225.67328483069,22225.67328483069,1.0,0.0
53,2711498.070577459,1007.9574805837779,2284.1746713441867,0.0,0.0
54,11634250.360794425,18720.65401026524,18720.65401026524,0.0,1.0
55,12526550.868860506,9894.90863617548,9894.90863617548,0.0,1.0
56,15089156.48695929,19650.885265458164,19650.885265458164,1.0,0.0
57,14216644.154730817,6333.71047905182,6333.71047905182,0.0,1.0
58,2814124.7212432986,927.5338250970519,2285.215812734485,0.0,0.0
59,13888126.851903236,25616.69357710003,25616.69357710003,0.0,1.0
60,7498493.472390518,7310.538616330599,7310.538616330599,0.0,1.0
61,17048327.505764328,13148.006411227418,13148.006411227418,1.0,0.0
62,13558686.467387231,12076.571815661231,12076.571815661231,1.0,0.0
63,1753092.5384252358,532.2701082379132,1101.7619334978601,0.0,0.0
64,16407593.735512316,9322.490422657223,9322.490422657223,0.0,1.0
65,14155998.089040244,19122.035818213084,19122.035818213084,1.0,0.0
66,15140644.025342245,29587.546495043454,29587.546495043454,0.0,1.0
67,11180440.009016912,19751.373778488993,19751.373778488993,0.0,1.0
68,10948000.764256107,27799.44800574885,27799.44800574885,1.0,0.0
69,14398749.485656817,11912.706476173485,11912.706476173485,0.0,1.0
70,3567893.150011018,700.6872099626115,2495.8884445697863,0.0,0.0
71,11807843.620660387,14696.592971703963,14696.592971703963,0.0,1.0
72,2022841.9179230344,601.8071931344493,1467.4187057254906,0.0,0.0
73,8974362.953600932,16679.88114328763,16679.88114328763,0.0,1.0
74,14454303.797311762,17114.54156731001,17114.54156731001,0.0,1.0
75,18874552.7367343,28753.096223929006,28753.096223929006,0.0,1.0
76,3482066.4812890193,1116.362114289058,2559.8869875603214,0.0,0.0
77,9215865.499452785,19687.06178980012,19687.06178980012,0.0,1.0
78,12096739.878461784,12721.139684662381,12721.139684662381,0.0,1.0
79,9619514.493793832,35150.210547791445,35150.210547791445,0.0,1.0
80,7826949.789042073,13895.342682156595,13895.342682156595,0.0,1.0
81,19676336.241993096,13315.933703987661,13315.933703987661,1.0,0.0
82,2375312.888868032,859.0049612617071,1842.203035744644,0.0,0.0
83,3443191.6195348604,860.6049514121257,2295.9749183606114,0.0,0.0
84,12000987.23546336,18185.652529701532,18185.652529701532,0.0,1.0
85,10758669.039218009,13993.031532455348,13993.031532455348,0.0,1.0
86,11541075.224988857,8962.42417942336,8962.42417942336,1.0,0.0
87,6370517.358099869,21539.883736636486,21539.883736636486,0.0,1.0
88,18444684.934347525,28427.044850878163,28427.044850878163,1.0,0.0
89,24099848.411432996,8534.14071827906,8534.14071827906,0.0,1.0
90,3417640.002966477,1071.8667775324056,2546.440354164073,0.0,0.0
91,12554642.228614395,38846.769338876584,38846.769338876584,0.0,1.0
92,12665608.979633998,5800.1021464003725,5800.1021464003725,0.0,1.0
93,2739017.046345121,800.9975762067834,2163.410596409318,0.0,0.0
94,3222625.4780917387,1114.0306145932436,2161.5184954303995,0.0,0.0
95,11946450.791157816,15063.323720454915,15063.323720454915,0.0,1.0
96,12489928.934392344,25754.654532368448,25754.654532368448,0.0,1.0
97,5832334.819058635,31173.77965217058,31173.77965217058,0.0,1.0
98,7144522.442044789,16256.46161605358,16256.46161605358,0.0,1.0
99,12129577.238025159,16215.777299857917,16215.777299857917,1.0,0.0
100,10295161.495530367,14639.176852483417,14639.176852483417,0.0,1.0
101,2981519.185315006,953.1366297163493,2453.238585055045,0.0,0.0
102,2847651.0045760227,868.3831628076841,2140.3031803078616,0.0,0.0
103,2981549.6447107648,1043.540985505293,2162.2152086896704,0.0,0.0
104,3329711.9361371216,1015.3999921564554,2643.2019722698656,0.0,0.0
105,6077436.036635935,11095.285959454113,11095.285959454113,1.0,0.0
106,11869579.270254012,14350.125880042262,14350.125880042262,1.0,0.0
107,9731469.010574136,5233.0706154834215,5233.0706154834215,0.0,1.0
