FG,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101.2b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1044.101b,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B1049.012,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,B2022.201_ud.2,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C1011.001a.2,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C2011.001a.2,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3011.001a.2,C3032.003a,C3032.003a,C3032.003a,D1014.011,D1014.011,D1014.011,D1014.011,D1014.011_ridr,D1014.011_ridr,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023a,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2021.023b,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013a,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.013b,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023a,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2022.023b,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023a,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D2031.023b,D3031.013f,D3031.013f,D3031.013f,D3031.023i,D3031.023i,D3031.023i,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.001c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.011c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.032c,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3041.041b,D3052.013i,D3052.013i,D3052.013i,D3052.013i,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023a,D4011.023ab,D4011.023ab,D4011.023ab,D4011.023ab,D4011.023ab,D4011.023ab,D4011.023ab,D4011.023ab,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053a,D4011.053ab,D4011.053ab,D4011.053ab,D4011.053ab,D4011.053ab,D4011.053ab,D4011.053ab,D4011.053ab,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b,D5012.023b
PG,10011,10011,10011,10021,10021,10021,10031,10031,10031,10041,10041,10041,10051,10051,10051,10061,10061,10061,11011,11011,11011,11021,11021,11021,11031,11031,11031,11041,11041,11041,20012,20012,20012,20022,20022,20022,20032,20032,20032,20042,20042,20042,20052,20052,20052,20062,20062,20062,21012,21012,21012,21022,21022,21022,21032,21032,21032,21042,21042,21042,30072,30072,30072,30082,30082,30082,30092,30092,30092,30102,30102,30102,30112,30112,30112,30122,30122,30122,40071,40071,40071,40081,40081,40081,40091,40091,40091,40101,40101,40101,40111,40111,40111,40121,40121,40121,50011,50011,50021,50021,50031,50031,50041,50041,50051,50051,50061,50061,50071,50071,50081,50081,50091,50091,50101,50101,50111,50111,50121,50121,51011,51011,51021,51021,51031,51031,51041,51041,60011,60011,60011,60021,60021,60021,60031,60031,60031,60041,60041,60041,60051,60051,60051,60061,60061,60061,60071,60071,60071,60081,60081,60081,60091,60091,60091,60101,60101,60101,60111,60111,60111,60121,60121,60121,70012,70012,70012,70022,70022,70022,70032,70032,70032,70042,70042,70042,70052,70052,70052,70062,70062,70062,70072,70072,70072,70082,70082,70082,70092,70092,70092,70102,70102,70102,70112,70112,70112,70122,70122,70122,80011,80011,80011,80021,80021,80021,80031,80031,80031,80041,80041,80041,80051,80051,80051,80061,80061,80061,80071,80071,80071,80081,80081,80081,80091,80091,80091,80101,80101,80101,80111,80111,80111,80121,80121,80121,90012,90012,90012,90022,90022,90022,90032,90032,90032,90042,90042,90042,90052,90052,90052,90062,90062,90062,90072,90072,90072,90082,90082,90082,90092,90092,90092,90102,90102,90102,90112,90112,90112,90122,90122,90122,100011,100011,100011,100021,100021,100021,100031,100031,100031,100041,100041,100041,100051,100051,100051,100061,100061,100061,100071,100071,100071,100081,100081,100081,100091,100091,100091,100101,100101,100101,100111,100111,100111,100121,100121,100121,101011,101011,101011,101021,101021,101021,101031,101031,101031,101041,101041,101041,110012,110012,110012,110022,110022,110022,110032,110032,110032,110042,110042,110042,110052,110052,110052,110062,110062,110062,110072,110072,110072,110082,110082,110082,110092,110092,110092,110102,110102,110102,110112,110112,110112,110122,110122,110122,111012,111012,111012,111022,111022,111022,111032,111032,111032,111042,111042,111042,120011,120021,120031,120041,120051,120061,120071,120081,120091,120101,120111,120121,130012,130022,130032,130042,130052,130062,130072,130082,130092,130102,130112,130122,140011,140011,140011,151041,151041,151041,151041,161041,161041,170011,170011,170021,170021,170031,170031,170041,170041,170051,170051,170061,170061,170071,170071,170081,170081,170091,170091,170101,170101,170111,170111,170121,170121,180011,180011,180021,180021,180031,180031,180041,180041,180051,180051,180061,180061,180071,180071,180081,180081,180091,180091,180101,180101,180111,180111,180121,180121,190011,190011,190021,190021,190031,190031,190041,190041,190051,190051,190061,190061,190071,190071,190081,190081,190091,190091,190101,190101,190111,190111,190121,190121,200011,200021,200031,200041,200051,200061,200071,200081,200091,200101,200111,200121,210011,210011,210021,210021,210031,210031,210041,210041,210051,210051,210061,210061,210071,210071,210081,210081,210091,210091,210101,210101,210111,210111,210121,210121,220011,220011,220021,220021,220031,220031,220041,220041,220051,220051,220061,220061,220071,220071,220081,220081,220091,220091,220101,220101,220111,220111,220121,220121,230011,230021,230031,230041,230051,230061,230071,230081,230091,230101,230111,230121,240011,240021,240031,240041,240051,240061,240071,240081,240091,240101,240111,240121,250121,250121,250121,260121,260121,260121,270011,270011,270021,270021,270031,270031,270041,270041,270051,270051,270061,270061,270071,270071,270081,270081,270091,270091,270101,270101,270111,270111,270121,270121,280011,280011,280021,280021,280031,280031,280041,280041,280051,280051,280061,280061,280071,280071,280081,280081,280091,280091,280101,280101,280111,280111,280121,280121,290011,290021,290031,290041,290051,290061,290071,290081,290091,290101,290111,290121,300011,300021,300031,300041,300051,300061,300071,300081,300091,300101,300111,300121,310121,310121,310121,310121,320011,320011,320021,320021,320031,320031,320041,320041,320051,320051,320061,320061,320071,320071,320081,320081,320091,320091,320101,320101,320111,320111,320121,320121,331011,331011,331021,331021,331031,331031,331041,331041,340011,340011,340021,340021,340031,340031,340041,340041,340051,340051,340061,340061,340071,340071,340081,340081,340091,340091,340101,340101,340111,340111,340121,340121,351011,351011,351021,351021,351031,351031,351041,351041,360011,360021,360031,360041,360051,360061,360071,360081,360091,360101,360111,360121
DSG_DS,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,2_1,3_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,2_1,3_1,1_1,1_2,1_3,1_4,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_2,1_3,1_1,1_2,1_3,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_2,1_3,1_4,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,2_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1
#Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
