#Num,IF_inspection,IF_eng,IF_permit,IF_finance,IF_cm_RS1,IF_cm_RS2,IF_cm_RS3,IF_cm_RS4,IF_cm_RS5,IF_cm_RS6,IF_cm_RS7,IF_stab,IF_reconstruct
0,4.240480365881484,21.674862606443128,19.932976399982948,0.0,45.186184676499046,77.50351737105592,31.225631723078973,56.74223831488436,0.0,183.4314896488252,16.474917652354204,19.262637794654434,0.0
1,9.703578928133231,30.073259532003107,26.660427883008868,0.0,37.32712997590414,90.19146778423818,3.028477820637375,10.701765217568207,0.0,102.55681661179938,0.0,17.746587215940476,0.0
2,6.9878875874985695,21.054894007540014,18.2901127632418,0.0,62.05976108033677,75.464206138843,50.91553274173879,19.0098405373803,0.0,388.83201551787886,0.0,0.0,0.0
3,7.043582926395668,20.558259445329,4.28624119431198,0.0,22.464027630407013,40.53587825406229,30.054074989587264,4.316884427921557,5.012122852280957,301.61901064813236,0.0,0.0,0.0
4,4.140793688871059,9.09094990744409,8.240480514784396,0.0,36.72378569358442,123.81575543250818,2.0418883326416806,55.50635157260478,0.0,138.67970100572828,0.0,0.0,0.0
5,5.775300527087827,39.21804808223619,32.79290251381013,0.0,161.28935549165027,57.94324900092797,12.20694933983497,5.3797178303444815,0.0,600.3822778914275,0.0,0.0,0.0
6,0.9211551052632554,30.724758575055038,14.64979725027388,0.0,54.39936659059957,76.0124871488001,25.512123375665595,13.181388918583156,0.0,336.8108743919093,0.0,0.0,0.0
7,3.087247880198096,15.152607657886223,16.46126105308467,0.0,59.29497731771268,60.505536920690446,32.407669695719115,22.973108317798474,0.0,0.0,0.0,0.0,0.0
8,5.6949208214792595,38.23034247577121,33.448269925021,0.0,91.33798863602746,91.27216356994857,8.546205103899805,20.490899419674133,7.689683802622972,208.36600753701563,0.0,0.0,0.0
9,10.209781578403783,23.508707148599093,29.61859741532046,0.0,51.07560335558277,46.944891329233805,16.464491531569973,0.0,0.0,212.37606075145126,0.0,51.40552366044167,0.0
10,5.011374650628403,28.765731785788525,24.156619603279687,0.0,51.133407482976025,79.88033232124761,0.0,3.9645700610208574,0.0,132.9299294276194,0.0,13.814267907535129,0.0
11,4.612498974897574,13.015838224158,10.326965341629473,0.0,28.43607298462291,78.58581987489958,5.986560153857958,7.63250650468218,0.0,132.09723573808466,2.7512245662687587,0.0,0.0
12,5.792472980030497,30.761155774310225,19.42718677023805,0.0,69.24441669334405,142.3332570301451,6.177897965789583,3.755403351130317,0.0,139.8995473723227,0.0,0.0,0.0
13,2.410589828347575,25.855161162605516,24.14930012977203,0.0,37.86950596714421,42.10631199053911,7.83818126186325,1.7392660104870206,0.0,385.2932606119052,4.35456799998651,0.0,0.0
14,3.0488029702587083,20.703187128501128,14.069120287459684,0.0,54.55331189567165,37.2225560846764,0.0,2.727593412811783,0.0,0.0,0.0,19.410199445598643,0.0
15,4.449502801221031,17.45747552296891,23.912132746230764,0.0,30.173367001791163,134.98066435813772,10.623597792046391,26.032603990257677,0.0,226.52678084657865,0.0,0.0,0.0
16,6.123784277910975,19.545742765380183,10.264347049716811,211.4901163077318,36.35008398035188,56.37379176010819,13.396903735794266,16.0621834679959,0.0,244.80723371943506,0.0,1.5257346778288055,0.0
17,6.328181861329022,39.11698202278795,17.744735362254506,0.0,32.90363922228713,36.15904071113349,57.25530821755818,0.0,0.0,0.0,0.0,0.0,0.0
18,4.42469720286014,20.44246861082348,38.731357919958434,0.0,44.47145505223802,75.01899716626308,12.005346266570028,4.876467575437268,0.0,523.3870278075145,0.0,2.848498763405776,0.0
19,9.85057185235538,41.17589471242094,17.103856076515854,0.0,54.91646978578803,54.19945272956763,0.0,16.346273488525874,5.110590522718704,0.0,0.0,0.0,0.0
20,4.969115302703473,15.637554180085179,15.495316695858792,0.0,22.329735907098875,66.80918942262161,70.88955225343838,23.440620934214124,16.771639248398692,0.0,0.0,3.999076738308785,0.0
21,3.605422414459009,45.17595720034994,10.508021976849662,0.0,35.86006485456716,53.53670912029526,14.435989427240058,22.328025670330362,0.0,0.0,0.0,0.0,0.0
22,7.275687955295595,22.069458334439595,14.902739046928431,0.0,52.18181168203203,40.6438194995305,10.191614304646894,47.680555132522976,0.0,169.99463824308094,7.829721927096713,0.0,0.0
23,5.1004877084600535,23.675023679269025,7.035874779508289,0.0,15.890813437913348,61.585828442870294,18.839239522886444,1.893423917748506,0.0,295.36543634637354,0.0,0.0,0.0
24,3.833968642632727,52.08846449779912,24.22276478941335,0.0,46.46107414148237,105.45896348527384,5.5094430033602215,34.40264127309629,0.0,656.5385782157539,2.7014696636100037,0.0,0.0
25,3.578867765845208,39.36812709396277,53.940336027899704,0.0,54.94446889529777,64.36702410325469,0.0,0.0,3.9155074296575685,297.52997953831687,0.0,0.0,0.0
